127.0.0.1, 2015-08-20 03:07:35, GET, /admin/static/_2.12.3/codemirror/addon/comment/comment.js, HTTP/1.1, 200, 0.000493
127.0.0.1, 2015-08-20 03:07:35, GET, /admin/static/_2.12.3/codemirror/addon/fold/foldgutter.css, HTTP/1.1, 200, 0.000484
127.0.0.1, 2015-08-20 03:07:35, GET, /admin/static/_2.12.3/codemirror/emmet.min.js, HTTP/1.1, 200, 0.000491
127.0.0.1, 2015-08-20 03:07:35, GET, /admin/static/_2.12.3/js/ajax_editor.js, HTTP/1.1, 200, 0.000696
127.0.0.1, 2015-08-20 03:07:35, GET, /admin/static/_2.12.3/css/typeahead.js-bootstrap.css, HTTP/1.1, 200, 0.000530
127.0.0.1, 2015-08-20 03:07:35, GET, /admin/static/_2.12.3/css/web2py-codemirror.css, HTTP/1.1, 200, 0.000486
127.0.0.1, 2015-08-20 03:07:35, GET, /admin/static/_2.12.3/js/typeahead.min.js, HTTP/1.1, 200, 0.000481
127.0.0.1, 2015-08-20 03:07:35, GET, /admin/static/_2.12.3/js/hogan-2.0.0.js, HTTP/1.1, 200, 0.000451
127.0.0.1, 2015-08-20 03:07:35, GET, /admin/static/_2.12.3/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.000509
127.0.0.1, 2015-08-20 03:07:35, GET, /admin/static/_2.12.3/images/files_toggle.png, HTTP/1.1, 200, 0.000538
127.0.0.1, 2015-08-20 03:07:36, GET, /favicon.ico, HTTP/1.1, 400, 0.000553
127.0.0.1, 2015-08-20 03:07:36, GET, /admin/default/edit/app1/controllers/test.py, HTTP/1.1, 200, 0.106970
127.0.0.1, 2015-08-20 03:07:36, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.094488
127.0.0.1, 2015-08-20 03:07:36, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.151111
127.0.0.1, 2015-08-20 03:07:36, GET, /admin/static/_2.12.3/images/save_icon.png, HTTP/1.1, 200, 0.000393
127.0.0.1, 2015-08-20 03:07:36, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.416844
127.0.0.1, 2015-08-20 03:07:36, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.661904
127.0.0.1, 2015-08-20 03:07:37, GET, /app1/appadmin/hooks, HTTP/1.1, 200, 1.384044
127.0.0.1, 2015-08-20 03:08:04, POST, /admin/default/edit/app1/controllers/test.py, HTTP/1.1, 200, 0.033714
127.0.0.1, 2015-08-20 03:08:19, GET, /app1/test/hello, HTTP/1.1, 200, 0.201109
127.0.0.1, 2015-08-20 03:08:19, GET, /favicon.ico, HTTP/1.1, 400, 0.001322
127.0.0.1, 2015-08-20 03:08:36, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.121403
127.0.0.1, 2015-08-20 03:08:38, GET, /app1/appadmin/hooks, HTTP/1.1, 200, 1.458586
127.0.0.1, 2015-08-20 03:09:36, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.152028
127.0.0.1, 2015-08-20 03:09:38, GET, /app1/appadmin/hooks, HTTP/1.1, 200, 1.431645
127.0.0.1, 2015-08-20 03:09:53, POST, /admin/default/edit/app1/controllers/test.py, HTTP/1.1, 200, 0.036638
127.0.0.1, 2015-08-20 03:09:59, GET, /app1/test/hello, HTTP/1.1, 200, 1.830956
127.0.0.1, 2015-08-20 03:09:59, GET, /app1/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001008
127.0.0.1, 2015-08-20 03:09:59, GET, /app1/static/css/bootstrap-theme.min.css, HTTP/1.1, 200, 0.000917
127.0.0.1, 2015-08-20 03:09:59, GET, /app1/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.000989
127.0.0.1, 2015-08-20 03:09:59, GET, /app1/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.001013
127.0.0.1, 2015-08-20 03:09:59, GET, /app1/static/css/calendar.css, HTTP/1.1, 200, 0.000586
127.0.0.1, 2015-08-20 03:09:59, GET, /app1/static/js/jquery.js, HTTP/1.1, 200, 0.001332
127.0.0.1, 2015-08-20 03:09:59, GET, /app1/static/js/calendar.js, HTTP/1.1, 200, 0.000738
127.0.0.1, 2015-08-20 03:09:59, GET, /app1/static/js/web2py.js, HTTP/1.1, 200, 0.000623
127.0.0.1, 2015-08-20 03:09:59, GET, /app1/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000810
127.0.0.1, 2015-08-20 03:09:59, GET, /app1/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.000782
127.0.0.1, 2015-08-20 03:09:59, GET, /app1/static/js/share.js, HTTP/1.1, 200, 0.000605
127.0.0.1, 2015-08-20 03:09:59, GET, /app1/static/images/twitter.png, HTTP/1.1, 200, 0.000653
127.0.0.1, 2015-08-20 03:09:59, GET, /app1/static/images/facebook.png, HTTP/1.1, 200, 0.000591
127.0.0.1, 2015-08-20 03:09:59, GET, /app1/static/images/gplus-32.png, HTTP/1.1, 200, 0.000541
127.0.0.1, 2015-08-20 03:09:59, GET, /app1/static/images/favicon.ico, HTTP/1.1, 200, 0.000458
127.0.0.1, 2015-08-20 03:10:36, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.138780
127.0.0.1, 2015-08-20 03:10:38, GET, /app1/appadmin/hooks, HTTP/1.1, 200, 1.462896
127.0.0.1, 2015-08-20 03:11:29, GET, /app1/test/hello, HTTP/1.1, 200, 0.358435
127.0.0.1, 2015-08-20 03:11:29, GET, /app1/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.001241
127.0.0.1, 2015-08-20 03:11:29, GET, /app1/static/css/bootstrap-theme.min.css, HTTP/1.1, 304, 0.001241
127.0.0.1, 2015-08-20 03:11:29, GET, /app1/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.000428
127.0.0.1, 2015-08-20 03:11:29, GET, /app1/static/css/calendar.css, HTTP/1.1, 304, 0.001151
127.0.0.1, 2015-08-20 03:11:29, GET, /app1/static/js/calendar.js, HTTP/1.1, 304, 0.001002
127.0.0.1, 2015-08-20 03:11:29, GET, /app1/static/js/jquery.js, HTTP/1.1, 304, 0.003253
127.0.0.1, 2015-08-20 03:11:29, GET, /app1/static/js/web2py.js, HTTP/1.1, 304, 0.003473
127.0.0.1, 2015-08-20 03:11:29, GET, /app1/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000989
127.0.0.1, 2015-08-20 03:11:29, GET, /app1/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.012971
127.0.0.1, 2015-08-20 03:11:29, GET, /app1/static/js/share.js, HTTP/1.1, 304, 0.002654
127.0.0.1, 2015-08-20 03:11:29, GET, /app1/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.007618
127.0.0.1, 2015-08-20 03:11:30, GET, /app1/static/images/gplus-32.png, HTTP/1.1, 304, 0.000970
127.0.0.1, 2015-08-20 03:11:30, GET, /app1/static/images/twitter.png, HTTP/1.1, 304, 0.003257
127.0.0.1, 2015-08-20 03:11:30, GET, /app1/static/images/facebook.png, HTTP/1.1, 304, 0.000785
127.0.0.1, 2015-08-20 03:11:30, GET, /app1/static/images/favicon.ico, HTTP/1.1, 200, 0.000904
127.0.0.1, 2015-08-20 03:11:36, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.116635
127.0.0.1, 2015-08-20 03:11:38, GET, /app1/appadmin/hooks, HTTP/1.1, 200, 1.488368
127.0.0.1, 2015-08-20 03:12:36, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.143541
127.0.0.1, 2015-08-20 03:12:38, GET, /app1/appadmin/hooks, HTTP/1.1, 200, 1.431005
127.0.0.1, 2015-08-20 03:13:00, POST, /admin/default/edit/app1/controllers/test.py, HTTP/1.1, 200, 0.054838
127.0.0.1, 2015-08-20 03:13:02, GET, /app1/test/hello, HTTP/1.1, 200, 0.172830
127.0.0.1, 2015-08-20 03:13:03, GET, /favicon.ico, HTTP/1.1, 400, 0.000678
127.0.0.1, 2015-08-20 03:13:36, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.079966
127.0.0.1, 2015-08-20 03:13:38, GET, /app1/appadmin/hooks, HTTP/1.1, 200, 1.445666
127.0.0.1, 2015-08-20 03:14:36, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.089679
127.0.0.1, 2015-08-20 03:14:37, GET, /app1/appadmin/hooks, HTTP/1.1, 200, 0.256948
127.0.0.1, 2015-08-20 03:15:36, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.057154
127.0.0.1, 2015-08-20 03:15:37, GET, /app1/appadmin/hooks, HTTP/1.1, 200, 0.235157
127.0.0.1, 2015-08-20 03:16:28, POST, /admin/default/edit/app1/controllers/test.py, HTTP/1.1, 200, 0.046758
127.0.0.1, 2015-08-20 03:16:32, GET, /app1/test/hello, HTTP/1.1, 200, 0.045499
127.0.0.1, 2015-08-20 03:16:32, GET, /favicon.ico, HTTP/1.1, 400, 0.001230
127.0.0.1, 2015-08-20 03:16:36, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.129670
